time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
0;1460;1460;1460;0.0;0.0;0.0;0;0;0
1;13140;1460;1460;0.17999999999999999;0.0;0.0;24040;0;0
2;106580;1460;1460;0.17999999999999999;0.0;0.0;276040;0;0
3;1460;1460;1460;0.20000000000000001;0.0;0.0;954040;0;0
4;18980;1460;1460;0.20000000000000001;0.0;0.0;1021540;0;0
5;108040;1460;1460;0.20000000000000001;0.0;0.0;1332040;0;0
6;118781.804;1460;1460;0.17999999999999999;0.0;0.0;1984540;0;0
7;122544.954;1460;1460;0.17999999999999999;0.0;0.0;2688040;0;0
8;126684.784;1460;1460;0.17999999999999999;0.0;0.0;3346540;0;0
9;130432.16600000001;1460;1460;0.17999999999999999;0.0;0.0;4104040;0;0
10;134582.80000000002;1460;1460;0.17999999999999999;0.0;0.0;4803040;0;0
11;138347.41;1460;1460;0.17999999999999999;0.0;0.0;5596540;0;0
12;142446.94399999999;1460;1460;0.19;0.0;0.0;6351040;0;0
13;146271.56;1460;1460;0.19;0.0;0.0;7177540;0;0
14;150311.38;1460;1460;0.19;0.0;0.0;7987540;0;0
15;154216.88;1460;1460;0.17999999999999999;0.0;0.0;8850040;0;0
16;158215.82000000001;1460;1460;0.17999999999999999;0.0;0.0;9711040;0;0
17;162141.76000000001;1460;1460;0.17999999999999999;0.0;0.0;10615540;0;0
18;166140.70000000001;1460;1460;0.17999999999999999;0.0;0.0;11526040;0;0
19;170059.34;1460;1460;0.17999999999999999;0.0;0.0;12472540;0;0
20;174061.20000000001;1460;1460;0.19;0.0;0.0;13423540;0;0
21;177984.22;1460;1460;0.17999999999999999;0.0;0.0;14418040;0;0
22;181987.54000000001;1460;1460;0.17999999999999999;0.0;0.0;15412540;0;0
23;185904.72;1460;1460;0.17999999999999999;0.0;0.0;16450540;0;0
24;189909.49999999997;1460;1460;0.17999999999999999;0.0;0.0;17491540;0;0
25;193842.74000000002;1460;1460;0.17999999999999999;0.0;0.0;18571540;0;0
26;197825.62000000002;1460;1460;0.19;0.0;0.0;19663540;0;0
27;201795.36000000002;1460;1460;0.17999999999999999;0.0;0.0;20779540;0;0
28;205738.82000000001;1460;1460;0.17999999999999999;0.0;0.0;21924040;0;0
29;209720.24000000002;1460;1460;0.17999999999999999;0.0;0.0;23079040;0;0
30;213676.84000000003;1460;1460;0.17999999999999999;0.0;0.0;24264040;0;0
31;217640.73999999999;1460;1460;0.19;0.0;0.0;25470040;0;0
32;221610.48000000001;1460;1460;0.17999999999999999;0.0;0.0;26695540;0;0
33;225539.34000000003;1460;1460;0.17999999999999999;0.0;0.0;27931540;0;0
34;229380.60000000001;1460;1460;0.19;0.0;0.0;29161540;0;0
35;233188.28;1460;1460;0.20000000000000001;0.0;0.0;30400540;0;0
36;236905.44;1460;1460;0.19;0.0;0.0;31633540;0;0
37;240584.63999999998;1460;1460;0.20000000000000001;0.0;0.0;32866540;0;0
38;244190.84;1460;1460;0.20000000000000001;0.0;0.0;34096540;0;0
39;247751.78000000003;1460;1460;0.20000000000000001;0.0;0.0;35331040;0;0
40;251271.84000000003;1460;1460;0.20000000000000001;0.0;0.0;36567040;0;0
