time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
0;1460;1460;1460;0.0;0.0;0.0;0;0;0
1;13140;1460;1460;0.17999999999999999;0.0;0.0;24040;0;0
2;1460;1460;1460;0.19;0.0;0.0;112540;0;0
3;11223.457999999999;1460;1460;0.17999999999999999;0.0;0.0;189040;0;0
4;14699.425999999999;1460;1460;0.17999999999999999;0.0;0.0;252040;0;0
5;18327.964;1460;1460;0.17999999999999999;0.0;0.0;337540;0;0
6;22034.466;1460;1460;0.19;0.0;0.0;442540;0;0
7;25702.862000000001;1460;1460;0.19;0.0;0.0;570040;0;0
8;29420.459999999999;1460;1460;0.17999999999999999;0.0;0.0;717040;0;0
9;33235.002;1460;1460;0.17999999999999999;0.0;0.0;886540;0;0
10;37059.034;1460;1460;0.17999999999999999;0.0;0.0;1077040;0;0
11;40890.220000000001;1460;1460;0.17999999999999999;0.0;0.0;1287040;0;0
12;44726.515999999996;1460;1460;0.19;0.0;0.0;1522540;0;0
13;48610.845999999998;1460;1460;0.19;0.0;0.0;1779040;0;0
14;52491.817999999999;1460;1460;0.17999999999999999;0.0;0.0;2055040;0;0
15;56370.161999999997;1460;1460;0.17999999999999999;0.0;0.0;2353540;0;0
16;60246.462;1460;1460;0.17999999999999999;0.0;0.0;2679040;0;0
17;64187.586000000003;1460;1460;0.17999999999999999;0.0;0.0;3018040;0;0
18;68057.024000000005;1460;1460;0.17999999999999999;0.0;0.0;3385540;0;0
19;71984.861999999994;1460;1460;0.19;0.0;0.0;3774040;0;0
20;75906.12999999999;1460;1460;0.17999999999999999;0.0;0.0;4182040;0;0
21;79821.558000000005;1460;1460;0.17999999999999999;0.0;0.0;4612540;0;0
22;83732.022000000012;1460;1460;0.17999999999999999;0.0;0.0;5070040;0;0
23;87687.016000000003;1460;1460;0.17999999999999999;0.0;0.0;5541040;0;0
24;91587.551999999996;1460;1460;0.17999999999999999;0.0;0.0;6034540;0;0
25;95462.538;1460;1460;0.17999999999999999;0.0;0.0;6561040;0;0
26;99465.274000000005;1460;1460;0.19;0.0;0.0;7090540;0;0
27;103313.10399999999;1460;1460;0.19;0.0;0.0;7669540;0;0
28;107360.662;1460;1460;0.17999999999999999;0.0;0.0;8236540;0;0
29;111184.402;1460;1460;0.17999999999999999;0.0;0.0;8857540;0;0
30;115196.04399999999;1460;1460;0.17999999999999999;0.0;0.0;9475540;0;0
31;119072.49000000001;1460;1460;0.17999999999999999;0.0;0.0;10134040;0;0
32;123052.012;1460;1460;0.17999999999999999;0.0;0.0;10798540;0;0
33;126940.42999999999;1460;1460;0.17999999999999999;0.0;0.0;11503540;0;0
34;130957.62000000001;1460;1460;0.17999999999999999;0.0;0.0;12208540;0;0
35;134807.78600000002;1460;1460;0.17999999999999999;0.0;0.0;12964540;0;0
36;138858.264;1460;1460;0.17999999999999999;0.0;0.0;13708540;0;0
37;142719.38;1460;1460;0.17999999999999999;0.0;0.0;14515540;0;0
38;146784.02000000002;1460;1460;0.17999999999999999;0.0;0.0;15303040;0;0
39;150625.28;1460;1460;0.17999999999999999;0.0;0.0;16152040;0;0
40;154675.31999999998;1460;1460;0.19;0.0;0.0;16984540;0;0
