time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
0;1460;1460;1460;0.0;0.0;0.0;0;0;0
1;13140;1460;1460;0.17999999999999999;0.0;0.0;24040;0;0
2;13932.020799999998;1460;1460;0.28000000000000003;0.0;0.0;109540;0;0
3;17598.548000000003;1460;1460;0.17999999999999999;0.0;0.0;184540;0;0
4;21029.694;1460;1460;0.17999999999999999;0.0;0.0;291040;0;0
5;25018.705999999998;1460;1460;0.19;0.0;0.0;405040;0;0
6;28527.086000000003;1460;1460;0.19;0.0;0.0;559540;0;0
7;32512.739999999998;1460;1460;0.17999999999999999;0.0;0.0;709540;0;0
8;36059.663999999997;1460;1460;0.17999999999999999;0.0;0.0;909040;0;0
9;40199.639999999999;1460;1460;0.17999999999999999;0.0;0.0;1102540;0;0
10;43756.345999999998;1460;1460;0.17999999999999999;0.0;0.0;1348540;0;0
11;47898.220000000001;1460;1460;0.17999999999999999;0.0;0.0;1578040;0;0
12;51460.911999999997;1460;1460;0.17999999999999999;0.0;0.0;1873540;0;0
13;55642.059999999998;1460;1460;0.19;0.0;0.0;2143540;0;0
14;59242.712;1460;1460;0.19;0.0;0.0;2487040;0;0
15;63481.968000000001;1460;1460;0.17999999999999999;0.0;0.0;2800540;0;0
16;67043.054000000004;1460;1460;0.17999999999999999;0.0;0.0;3187540;0;0
17;71266.688000000009;1460;1460;0.17999999999999999;0.0;0.0;3537040;0;0
18;74856.097999999998;1460;1460;0.17999999999999999;0.0;0.0;3976540;0;0
19;79093.748000000007;1460;1460;0.17999999999999999;0.0;0.0;4366540;0;0
20;82704.035999999993;1460;1460;0.17999999999999999;0.0;0.0;4848040;0;0
21;86853.356;1460;1460;0.17999999999999999;0.0;0.0;5287540;0;0
22;90578.107999999993;1460;1460;0.17999999999999999;0.0;0.0;5800540;0;0
23;94674.868000000002;1460;1460;0.17999999999999999;0.0;0.0;6297040;0;0
24;98471.743999999992;1460;1460;0.17999999999999999;0.0;0.0;6850540;0;0
25;102523.39000000001;1460;1460;0.17999999999999999;0.0;0.0;7390540;0;0
26;106340.70600000001;1460;1460;0.17999999999999999;0.0;0.0;7983040;0;0
27;55543.510000000002;1460;1460;0.17999999999999999;0.0;0.0;8391040;0;0
28;59581.139999999999;1460;1460;0.19;0.0;0.0;8697040;0;0
29;63328.375999999997;1460;1460;0.17999999999999999;0.0;0.0;9052540;0;0
30;67468.790000000008;1460;1460;0.17999999999999999;0.0;0.0;9390040;0;0
31;71129.885999999999;1460;1460;0.19;0.0;0.0;9802540;0;0
32;75379.216;1460;1460;0.17999999999999999;0.0;0.0;10176040;0;0
33;78997.534;1460;1460;0.17999999999999999;0.0;0.0;10644040;0;0
34;83331.543999999994;1460;1460;0.17999999999999999;0.0;0.0;11056540;0;0
35;86937.597999999998;1460;1460;0.19;0.0;0.0;11575540;0;0
36;91268.103999999992;1460;1460;0.17999999999999999;0.0;0.0;12030040;0;0
37;94864.522000000012;1460;1460;0.17999999999999999;0.0;0.0;12588040;0;0
38;99085.381999999998;1460;1460;0.17999999999999999;0.0;0.0;13084540;0;0
39;102719.322;1460;1460;0.17999999999999999;0.0;0.0;13684540;0;0
